shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
nbend_all,42.15688,-124.36018,138,28.444
nbend_all,42.15758,-124.35997,139,28.524
nbend_all,42.15792,-124.35981,140,28.564
nbend_all,42.15983,-124.35846,141,28.804
nbend_all,42.16051,-124.35807,142,28.886
nbend_all,42.16133,-124.35774,143,28.981
nbend_all,42.16172,-124.35767,144,29.025
nbend_all,42.16215,-124.35765,145,29.073
nbend_all,42.16269,-124.35771,146,29.133
nbend_all,42.1639,-124.35805,147,29.27
nbend_all,42.16494,-124.35859,148,29.394
nbend_all,42.16615,-124.35942,149,29.545
nbend_all,42.16761,-124.35998,150,29.714
nbend_all,42.16834,-124.36014,151,29.796
nbend_all,42.16906,-124.36008,152,29.876
nbend_all,42.16975,-124.35979,153,29.957
nbend_all,42.1704,-124.35937,154,30.037
nbend_all,42.172,-124.35821,155,30.239
nbend_all,42.17267,-124.35787,156,30.319
nbend_all,42.17302,-124.35778,157,30.358
nbend_all,42.17375,-124.35782,158,30.439
nbend_all,42.17585,-124.35857,159,30.681
nbend_all,42.17621,-124.35864,160,30.721
nbend_all,42.17657,-124.35864,161,30.761
nbend_all,42.17693,-124.35856,162,30.802
nbend_all,42.17833,-124.35805,163,30.963
nbend_all,42.17869,-124.35806,164,31.003
nbend_all,42.17904,-124.35814,165,31.043
nbend_all,42.17939,-124.35829,166,31.084
nbend_all,42.1797,-124.35852,167,31.123
nbend_all,42.18093,-124.35956,168,31.284
nbend_all,42.1816,-124.35992,169,31.364
nbend_all,42.18232,-124.36002,170,31.445
nbend_all,42.18377,-124.35998,171,31.606
nbend_all,42.18449,-124.36003,172,31.686
nbend_all,42.18484,-124.36012,173,31.726
nbend_all,42.18518,-124.36028,174,31.766
nbend_all,42.1855,-124.3605,175,31.806
nbend_all,42.18607,-124.3611,176,31.886
nbend_all,42.18751,-124.36328,177,32.127
nbend_all,42.18802,-124.36398,178,32.208
nbend_all,42.18857,-124.36462,179,32.289
nbend_all,42.18916,-124.36518,180,32.369
nbend_all,42.18979,-124.36565,181,32.449
nbend_all,42.19045,-124.36605,182,32.529
nbend_all,42.19416,-124.368,183,32.972
nbend_all,42.19526,-124.36867,184,33.106
nbend_all,42.19635,-124.36967,185,33.253
nbend_all,42.19927,-124.37329,186,33.694
nbend_all,42.19957,-124.37357,187,33.734
nbend_all,42.19989,-124.37379,188,33.774
nbend_all,42.20023,-124.37395,189,33.814
nbend_all,42.20059,-124.37405,190,33.855
nbend_all,42.20131,-124.37405,191,33.935
nbend_all,42.20166,-124.37396,192,33.975
nbend_all,42.2034,-124.37329,193,34.176
nbend_all,42.20411,-124.37307,194,34.257
nbend_all,42.20489,-124.37299,195,34.344
nbend_all,42.20624,-124.37309,196,34.494
nbend_all,42.20805,-124.37328,197,34.696
nbend_all,42.20884,-124.37346,198,34.785
nbend_all,42.20945,-124.37366,199,34.855
nbend_all,42.2097,-124.37379,200,34.885
nbend_all,42.21105,-124.37482,201,35.057
