route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
1,W.327,2711690,0,103,103215,
1,W.327,2711689,0,102,103215,
1,W.327,2711688,0,101,103215,
1,W.327,2711687,0,103,103215,
1,W.327,2711686,0,102,103215,
1,W.327,2711691,0,103,103216,
1,W.327,2711684,0,101,103216,
1,W.327,2711683,0,102,103216,
1,W.327,2711682,0,101,103216,
1,W.327,2711681,0,102,103216,
1,W.327,2711685,0,101,103217,
1,W.327,2711704,1,103,103218,
1,W.327,2711703,1,102,103218,
1,W.327,2711702,1,101,103218,
1,W.327,2711701,1,103,103218,
1,W.327,2711700,1,102,103218,
1,W.327,2711699,1,102,103219,
1,W.327,2711698,1,101,103219,
1,W.327,2711697,1,103,103219,
1,W.327,2711696,1,102,103219,
1,W.327,2711695,1,101,103219,
1,W.327,2711694,1,103,103219,
1,W.327,2711693,1,102,103219,
1,W.327,2711692,1,101,103219,
4,W.327,2711874,0,447,103220,
4,W.327,2711867,0,411,103220,
4,W.327,2711865,0,454,103220,
4,W.327,2711862,0,453,103220,
4,W.327,2711859,0,449,103220,
4,W.327,2711857,0,447,103220,
4,W.327,2711892,0,445,103221,
4,W.327,2711814,0,1267,103221,
4,U.327,2711761,0,401,103221,
4,U.327,2711811,0,438,103221,
4,S.327,2711758,0,1201,103221,
4,S.327,2711706,0,901,103221,
4,W.327,2711893,0,401,103222,
4,W.327,2711891,0,445,103222,
4,W.327,2711813,0,1267,103222,
4,U.327,2711760,0,401,103222,
4,U.327,2711812,0,2068,103222,
4,U.327,2711810,0,438,103222,
4,U.327,2711804,0,405,103222,
4,U.327,2711802,0,403,103222,
4,S.327,2711759,0,2003,103222,
4,S.327,2711757,0,1201,103222,
4,S.327,2711705,0,901,103222,
4,W.327,2711890,0,448,103223,
4,W.327,2711889,0,450,103223,
4,W.327,2711888,0,438,103223,
4,W.327,2711887,0,402,103223,
4,W.327,2711886,0,411,103223,
4,W.327,2711885,0,446,103223,
4,W.327,2711884,0,406,103223,
4,W.327,2711883,0,449,103223,
4,W.327,2711882,0,408,103223,
4,W.327,2711881,0,902,103223,
4,W.327,2711880,0,451,103223,
4,W.327,2711879,0,409,103223,
4,W.327,2711878,0,448,103223,
4,W.327,2711877,0,436,103223,
4,W.327,2711876,0,2038,103223,
4,W.327,2711875,0,404,103223,
4,W.327,2711873,0,438,103223,
4,W.327,2711872,0,2003,103223,
4,W.327,2711871,0,437,103223,
4,W.327,2711870,0,402,103223,
4,W.327,2711869,0,440,103223,
4,W.327,2711868,0,444,103223,
4,W.327,2711866,0,435,103223,
4,W.327,2711864,0,439,103223,
4,W.327,2711863,0,446,103223,
4,W.327,2711861,0,441,103223,
4,W.327,2711860,0,406,103223,
4,W.327,2711858,0,443,103223,
4,W.327,2711856,0,434,103223,
4,W.327,2711855,0,452,103223,
4,W.327,2711854,0,408,103223,
4,W.327,2711853,0,405,103223,
4,W.327,2711852,0,401,103223,
4,W.327,2711851,0,442,103223,
4,W.327,2711850,0,451,103223,
4,W.327,2711849,0,450,103223,
4,W.327,2711848,0,448,103223,
4,W.327,2711847,0,407,103223,
4,W.327,2711846,0,436,103223,
4,W.327,2711845,0,404,103223,
4,W.327,2711844,0,403,103223,
4,W.327,2711843,0,1245,103223,
4,W.327,2711842,0,437,103223,
4,W.327,2711841,0,444,103223,
4,W.327,2711840,0,435,103223,
4,W.327,2711839,0,441,103223,
4,W.327,2711838,0,406,103223,
4,W.327,2711837,0,434,103223,
4,W.327,2711836,0,452,103223,
4,W.327,2711835,0,405,103223,
4,W.327,2711834,0,442,103223,
4,W.327,2711833,0,451,103223,
4,W.327,2711832,0,450,103223,
4,W.327,2711831,0,448,103223,
4,W.327,2711830,0,407,103223,
4,W.327,2711829,0,436,103223,
4,W.327,2711828,0,404,103223,
4,W.327,2711827,0,439,103223,
4,W.327,2711826,0,2036,103223,
4,W.327,2711825,0,1245,103223,
4,W.327,2711824,0,1235,103223,
4,W.327,2711823,0,438,103223,
4,W.327,2711822,0,444,103223,
4,W.327,2711821,0,435,103223,
4,W.327,2711820,0,443,103223,
4,W.327,2711819,0,441,103223,
4,W.327,2711818,0,406,103223,
4,W.327,2711817,0,2002,103223,
4,W.327,2711816,0,401,103223,
4,W.327,2711815,0,402,103223,
4,U.327,2711773,0,941,103223,
4,U.327,2711772,0,437,103223,
4,U.327,2711771,0,434,103223,
4,U.327,2711770,0,435,103223,
4,U.327,2711769,0,439,103223,
4,U.327,2711768,0,401,103223,
4,U.327,2711767,0,1268,103223,
4,U.327,2711766,0,436,103223,
4,U.327,2711765,0,2002,103223,
4,U.327,2711764,0,402,103223,
4,U.327,2711763,0,934,103223,
4,U.327,2711762,0,434,103223,
4,U.327,2711809,0,437,103223,
4,U.327,2711808,0,435,103223,
4,U.327,2711807,0,401,103223,
4,U.327,2711806,0,1268,103223,
4,U.327,2711805,0,2068,103223,
4,U.327,2711803,0,402,103223,
4,U.327,2711801,0,438,103223,
4,U.327,2711800,0,440,103223,
4,U.327,2711799,0,437,103223,
4,U.327,2711798,0,434,103223,
4,U.327,2711797,0,435,103223,
4,U.327,2711796,0,439,103223,
4,U.327,2711795,0,401,103223,
4,U.327,2711794,0,1268,103223,
4,U.327,2711793,0,436,103223,
4,U.327,2711792,0,2068,103223,
4,U.327,2711791,0,405,103223,
4,U.327,2711790,0,402,103223,
4,U.327,2711789,0,404,103223,
4,U.327,2711788,0,403,103223,
4,U.327,2711787,0,438,103223,
4,U.327,2711786,0,440,103223,
4,U.327,2711785,0,437,103223,
4,U.327,2711784,0,434,103223,
4,U.327,2711783,0,435,103223,
4,U.327,2711782,0,439,103223,
4,U.327,2711781,0,401,103223,
4,U.327,2711780,0,1268,103223,
4,U.327,2711779,0,436,103223,
4,U.327,2711778,0,2002,103223,
4,U.327,2711777,0,402,103223,
4,U.327,2711776,0,404,103223,
4,U.327,2711775,0,403,103223,
4,U.327,2711774,0,438,103223,
4,S.327,2711756,0,435,103223,
4,S.327,2711755,0,2037,103223,
4,S.327,2711754,0,434,103223,
4,S.327,2711753,0,2069,103223,
4,S.327,2711752,0,403,103223,
4,S.327,2711751,0,1268,103223,
4,S.327,2711750,0,938,103223,
4,S.327,2711749,0,402,103223,
4,S.327,2711748,0,401,103223,
4,S.327,2711747,0,439,103223,
4,S.327,2711746,0,436,103223,
4,S.327,2711745,0,435,103223,
4,S.327,2711744,0,2070,103223,
4,S.327,2711743,0,438,103223,
4,S.327,2711742,0,437,103223,
4,S.327,2711741,0,434,103223,
4,S.327,2711740,0,2069,103223,
4,S.327,2711739,0,404,103223,
4,S.327,2711738,0,403,103223,
4,S.327,2711737,0,1268,103223,
4,S.327,2711736,0,2068,103223,
4,S.327,2711735,0,402,103223,
4,S.327,2711734,0,401,103223,
4,S.327,2711733,0,903,103223,
4,S.327,2711732,0,436,103223,
4,S.327,2711731,0,435,103223,
4,S.327,2711730,0,2070,103223,
4,S.327,2711729,0,438,103223,
4,S.327,2711728,0,437,103223,
4,S.327,2711727,0,434,103223,
4,S.327,2711726,0,2069,103223,
4,S.327,2711725,0,404,103223,
4,S.327,2711724,0,403,103223,
4,S.327,2711723,0,1268,103223,
4,S.327,2711722,0,2068,103223,
4,S.327,2711721,0,402,103223,
4,S.327,2711720,0,401,103223,
4,S.327,2711719,0,903,103223,
4,S.327,2711718,0,436,103223,
4,S.327,2711717,0,435,103223,
4,S.327,2711716,0,2070,103223,
4,S.327,2711715,0,901,103223,
4,S.327,2711714,0,2004,103223,
4,S.327,2711713,0,2035,103223,
4,S.327,2711712,0,937,103223,
4,S.327,2711711,0,1268,103223,
4,S.327,2711710,0,2003,103223,
4,S.327,2711709,0,934,103223,
4,S.327,2711708,0,903,103223,
4,S.327,2711707,0,2067,103223,
4,W.327,2712083,1,901,103224,
4,W.327,2712082,1,401,103224,
4,W.327,2712081,1,408,103224,
4,W.327,2712080,1,902,103224,
4,W.327,2712079,1,445,103224,
4,W.327,2712078,1,409,103224,
4,W.327,2712077,1,448,103224,
4,W.327,2712076,1,450,103224,
4,W.327,2712075,1,404,103224,
4,W.327,2712074,1,438,103224,
4,W.327,2712073,1,2003,103224,
4,W.327,2712072,1,402,103224,
4,W.327,2712071,1,411,103224,
4,W.327,2712070,1,446,103224,
4,W.327,2712069,1,406,103224,
4,W.327,2712068,1,449,103224,
4,W.327,2712067,1,412,103224,
4,W.327,2712066,1,408,103224,
4,W.327,2712065,1,405,103224,
4,W.327,2712064,1,902,103224,
4,W.327,2712063,1,410,103224,
4,W.327,2712062,1,451,103224,
4,W.327,2712061,1,409,103224,
4,W.327,2712060,1,1272,103224,
4,W.327,2712059,1,448,103224,
4,W.327,2712058,1,407,103224,
4,W.327,2712057,1,436,103224,
4,W.327,2712056,1,2038,103224,
4,W.327,2712055,1,404,103224,
4,W.327,2712054,1,403,103224,
4,W.327,2712053,1,438,103224,
4,W.327,2712052,1,2003,103224,
4,W.327,2712051,1,437,103224,
4,W.327,2712049,1,440,103224,
4,W.327,2712048,1,444,103224,
4,W.327,2712047,1,435,103224,
4,W.327,2712046,1,439,103224,
4,W.327,2712045,1,441,103224,
4,W.327,2712044,1,406,103224,
4,W.327,2712043,1,434,103224,
4,W.327,2712042,1,452,103224,
4,W.327,2712041,1,405,103224,
4,W.327,2712040,1,442,103224,
4,W.327,2712039,1,451,103224,
4,W.327,2712038,1,450,103224,
4,W.327,2712037,1,448,103224,
4,W.327,2712036,1,407,103224,
4,W.327,2712035,1,436,103224,
4,W.327,2712034,1,404,103224,
4,W.327,2712033,1,403,103224,
4,W.327,2712032,1,1245,103224,
4,W.327,2712031,1,437,103224,
4,W.327,2712030,1,444,103224,
4,W.327,2712029,1,435,103224,
4,W.327,2712027,1,441,103224,
4,W.327,2712026,1,406,103224,
4,W.327,2712025,1,434,103224,
4,W.327,2712024,1,452,103224,
4,W.327,2712022,1,405,103224,
4,W.327,2712021,1,442,103224,
4,W.327,2712020,1,449,103224,
4,W.327,2712010,1,407,103224,
4,W.327,2712009,1,440,103224,
4,W.327,2712008,1,404,103224,
4,W.327,2712006,1,439,103224,
4,W.327,2712004,1,1235,103224,
4,W.327,2712003,1,438,103224,
4,U.327,2711996,1,2068,103224,
4,U.327,2711995,1,402,103224,
4,U.327,2711994,1,438,103224,
4,U.327,2711993,1,437,103224,
4,U.327,2711991,1,435,103224,
4,U.327,2711989,1,401,103224,
4,U.327,2711988,1,1268,103224,
4,U.327,2711987,1,2068,103224,
4,U.327,2711986,1,405,103224,
4,U.327,2711985,1,402,103224,
4,U.327,2711984,1,404,103224,
4,U.327,2711983,1,403,103224,
4,U.327,2711982,1,438,103224,
4,U.327,2711981,1,440,103224,
4,U.327,2711980,1,437,103224,
4,U.327,2711979,1,434,103224,
4,U.327,2711978,1,435,103224,
4,U.327,2711977,1,439,103224,
4,U.327,2711976,1,401,103224,
4,U.327,2711975,1,1268,103224,
4,U.327,2711974,1,436,103224,
4,U.327,2711973,1,2068,103224,
4,U.327,2711972,1,405,103224,
4,U.327,2711971,1,402,103224,
4,U.327,2711970,1,404,103224,
4,U.327,2711969,1,403,103224,
4,U.327,2711968,1,438,103224,
4,U.327,2711967,1,440,103224,
4,U.327,2711966,1,437,103224,
4,U.327,2711965,1,434,103224,
4,U.327,2711964,1,435,103224,
4,U.327,2711963,1,439,103224,
4,U.327,2711962,1,401,103224,
4,U.327,2711961,1,1268,103224,
4,U.327,2711960,1,436,103224,
4,U.327,2711959,1,2002,103224,
4,U.327,2711958,1,402,103224,
4,U.327,2711957,1,403,103224,
4,U.327,2711956,1,438,103224,
4,U.327,2711955,1,941,103224,
4,U.327,2711954,1,437,103224,
4,U.327,2711953,1,434,103224,
4,U.327,2711952,1,435,103224,
4,U.327,2711951,1,401,103224,
4,U.327,2711950,1,2002,103224,
4,S.327,2711944,1,403,103224,
4,S.327,2711943,1,2003,103224,
4,S.327,2711942,1,401,103224,
4,S.327,2711941,1,1201,103224,
4,S.327,2711940,1,2035,103224,
4,S.327,2711939,1,435,103224,
4,S.327,2711938,1,2037,103224,
4,S.327,2711937,1,901,103224,
4,S.327,2711936,1,434,103224,
4,S.327,2711935,1,2069,103224,
4,S.327,2711934,1,404,103224,
4,S.327,2711933,1,403,103224,
4,S.327,2711932,1,1268,103224,
4,S.327,2711931,1,938,103224,
4,S.327,2711930,1,402,103224,
4,S.327,2711929,1,401,103224,
4,S.327,2711928,1,439,103224,
4,S.327,2711927,1,436,103224,
4,S.327,2711926,1,435,103224,
4,S.327,2711925,1,2070,103224,
4,S.327,2711924,1,438,103224,
4,S.327,2711923,1,437,103224,
4,S.327,2711922,1,434,103224,
4,S.327,2711921,1,2069,103224,
4,S.327,2711920,1,404,103224,
4,S.327,2711919,1,403,103224,
4,S.327,2711918,1,1268,103224,
4,S.327,2711917,1,2068,103224,
4,S.327,2711916,1,402,103224,
4,S.327,2711915,1,401,103224,
4,S.327,2711914,1,903,103224,
4,S.327,2711913,1,436,103224,
4,S.327,2711912,1,435,103224,
4,S.327,2711911,1,2070,103224,
4,S.327,2711910,1,438,103224,
4,S.327,2711909,1,437,103224,
4,S.327,2711908,1,434,103224,
4,S.327,2711907,1,2069,103224,
4,S.327,2711906,1,403,103224,
4,S.327,2711905,1,1268,103224,
4,S.327,2711904,1,2068,103224,
4,S.327,2711903,1,402,103224,
4,S.327,2711902,1,401,103224,
4,S.327,2711901,1,903,103224,
4,S.327,2711900,1,436,103224,
4,S.327,2711899,1,435,103224,
4,S.327,2711898,1,901,103224,
4,S.327,2711897,1,2035,103224,
4,S.327,2711896,1,937,103224,
4,W.327,2712050,1,402,103225,
4,W.327,2712018,1,451,103225,
4,W.327,2712016,1,450,103225,
4,W.327,2712013,1,448,103225,
4,W.327,2712011,1,445,103225,
4,W.327,2712005,1,2036,103225,
4,W.327,2712014,1,436,103226,
4,W.327,2712028,1,446,103227,
4,W.327,2712023,1,401,103227,
4,W.327,2712019,1,402,103227,
4,W.327,2712017,1,447,103227,
4,W.327,2712015,1,446,103227,
4,W.327,2712012,1,408,103227,
4,W.327,2712084,1,402,103228,
4,W.327,2712001,1,435,103228,
4,U.327,2711997,1,401,103228,
4,U.327,2711948,1,934,103228,
4,S.327,2711945,1,2006,103228,
4,S.327,2711894,1,934,103228,
4,W.327,2712007,1,405,103229,
4,W.327,2712086,1,401,103230,
4,U.327,2711999,1,2068,103230,
4,U.327,2711992,1,405,103230,
4,U.327,2711990,1,403,103230,
4,S.327,2711947,1,2003,103230,
4,W.327,2712085,1,402,103231,
4,W.327,2712002,1,435,103231,
4,U.327,2711998,1,401,103231,
4,U.327,2711949,1,934,103231,
4,S.327,2711946,1,2006,103231,
4,S.327,2711895,1,934,103231,
4,W.327,2712000,1,401,103232,
6,W.327,2712255,0,610,103233,
6,W.327,2712254,0,606,103233,
6,W.327,2712253,0,604,103233,
6,W.327,2712252,0,610,103233,
6,W.327,2712251,0,606,103233,
6,W.327,2712250,0,602,103233,
6,W.327,2712249,0,604,103233,
6,W.327,2712248,0,611,103233,
6,W.327,2712247,0,610,103233,
6,W.327,2712246,0,606,103233,
6,W.327,2712245,0,605,103233,
6,W.327,2712244,0,602,103233,
6,W.327,2712243,0,604,103233,
6,W.327,2712242,0,611,103233,
6,W.327,2712241,0,610,103233,
6,W.327,2712240,0,606,103233,
6,W.327,2712239,0,605,103233,
6,W.327,2712238,0,602,103233,
6,W.327,2712237,0,607,103233,
6,W.327,2712236,0,604,103233,
6,W.327,2712235,0,601,103233,
6,W.327,2712234,0,611,103233,
6,W.327,2712233,0,603,103233,
6,W.327,2712232,0,610,103233,
6,W.327,2712231,0,609,103233,
6,W.327,2712230,0,606,103233,
6,W.327,2712229,0,608,103233,
6,W.327,2712228,0,605,103233,
6,W.327,2712227,0,602,103233,
6,W.327,2712226,0,607,103233,
6,W.327,2712225,0,604,103233,
6,W.327,2712224,0,601,103233,
6,W.327,2712223,0,603,103233,
6,W.327,2712222,0,609,103233,
6,W.327,2712221,0,608,103233,
6,W.327,2712220,0,602,103233,
6,W.327,2712219,0,607,103233,
6,W.327,2712218,0,601,103233,
6,W.327,2712217,0,603,103233,
6,W.327,2712216,0,609,103233,
6,W.327,2712215,0,608,103233,
6,W.327,2712214,0,602,103233,
6,W.327,2712213,0,607,103233,
6,W.327,2712212,0,601,103233,
6,W.327,2712211,0,603,103233,
6,W.327,2712210,0,609,103233,
6,W.327,2712209,0,608,103233,
6,W.327,2712208,0,602,103233,
6,W.327,2712207,0,607,103233,
6,W.327,2712206,0,601,103233,
6,W.327,2712205,0,603,103233,
6,W.327,2712204,0,609,103233,
6,W.327,2712203,0,608,103233,
6,W.327,2712202,0,604,103233,
6,W.327,2712201,0,602,103233,
6,W.327,2712200,0,607,103233,
6,W.327,2712199,0,601,103233,
6,W.327,2712198,0,603,103233,
6,W.327,2712197,0,605,103233,
6,W.327,2712196,0,604,103233,
6,W.327,2712195,0,602,103233,
6,W.327,2712194,0,601,103233,
6,W.327,2712193,0,603,103233,
6,U.327,2712192,0,605,103233,
6,U.327,2712191,0,606,103233,
6,U.327,2712190,0,604,103233,
6,U.327,2712189,0,605,103233,
6,U.327,2712188,0,606,103233,
6,U.327,2712187,0,601,103233,
6,U.327,2712186,0,604,103233,
6,U.327,2712185,0,603,103233,
6,U.327,2712184,0,605,103233,
6,U.327,2712183,0,606,103233,
6,U.327,2712182,0,601,103233,
6,U.327,2712181,0,604,103233,
6,U.327,2712180,0,603,103233,
6,U.327,2712179,0,605,103233,
6,U.327,2712178,0,602,103233,
6,U.327,2712177,0,606,103233,
6,U.327,2712176,0,601,103233,
6,U.327,2712175,0,604,103233,
6,U.327,2712174,0,603,103233,
6,U.327,2712173,0,605,103233,
6,U.327,2712172,0,602,103233,
6,U.327,2712171,0,606,103233,
6,U.327,2712170,0,601,103233,
6,U.327,2712169,0,604,103233,
6,U.327,2712168,0,603,103233,
6,U.327,2712167,0,605,103233,
6,U.327,2712166,0,602,103233,
6,U.327,2712165,0,606,103233,
6,U.327,2712164,0,601,103233,
6,U.327,2712163,0,604,103233,
6,U.327,2712162,0,603,103233,
6,U.327,2712161,0,605,103233,
6,U.327,2712160,0,602,103233,
6,U.327,2712159,0,606,103233,
6,U.327,2712158,0,601,103233,
6,U.327,2712157,0,604,103233,
6,U.327,2712156,0,603,103233,
6,U.327,2712155,0,605,103233,
6,U.327,2712154,0,602,103233,
6,U.327,2712153,0,606,103233,
6,U.327,2712152,0,601,103233,
6,U.327,2712151,0,604,103233,
6,U.327,2712150,0,603,103233,
6,U.327,2712149,0,605,103233,
6,U.327,2712148,0,602,103233,
6,U.327,2712147,0,601,103233,
6,U.327,2712146,0,604,103233,
6,U.327,2712145,0,603,103233,
6,U.327,2712144,0,602,103233,
6,U.327,2712143,0,601,103233,
6,U.327,2712142,0,603,103233,
