service_id,date,exception_type
p.323,20120424,1
2.323,20120425,1
7.323,20120425,1
A.323,20120425,1
W.323,20120425,1
e.323,20120425,1
p.323,20120425,1
2.323,20120426,1
7.323,20120426,1
A.323,20120426,1
W.323,20120426,1
e.323,20120426,1
p.323,20120426,1
2.323,20120427,1
7.323,20120427,1
A.323,20120427,1
P.323,20120427,1
W.323,20120427,1
e.323,20120427,1
8.323,20120428,1
B.323,20120428,1
S.323,20120428,1
C.323,20120429,1
U.323,20120429,1
2.323,20120430,1
7.323,20120430,1
A.323,20120430,1
W.323,20120430,1
e.323,20120430,1
p.323,20120430,1
2.323,20120501,1
7.323,20120501,1
A.323,20120501,1
W.323,20120501,1
e.323,20120501,1
p.323,20120501,1
2.323,20120502,1
7.323,20120502,1
A.323,20120502,1
W.323,20120502,1
e.323,20120502,1
p.323,20120502,1
2.323,20120503,1
7.323,20120503,1
A.323,20120503,1
W.323,20120503,1
e.323,20120503,1
p.323,20120503,1
2.323,20120504,1
7.323,20120504,1
A.323,20120504,1
P.323,20120504,1
W.323,20120504,1
e.323,20120504,1
8.323,20120505,1
B.323,20120505,1
K.323,20120505,1
S.323,20120505,1
o.323,20120505,1
C.323,20120506,1
U.323,20120506,1
k.323,20120506,1
2.323,20120507,1
7.323,20120507,1
A.323,20120507,1
W.323,20120507,1
e.323,20120507,1
p.323,20120507,1
2.323,20120508,1
7.323,20120508,1
A.323,20120508,1
W.323,20120508,1
e.323,20120508,1
p.323,20120508,1
2.323,20120509,1
7.323,20120509,1
A.323,20120509,1
W.323,20120509,1
e.323,20120509,1
p.323,20120509,1
2.323,20120510,1
7.323,20120510,1
A.323,20120510,1
W.323,20120510,1
e.323,20120510,1
p.323,20120510,1
2.323,20120511,1
7.323,20120511,1
A.323,20120511,1
P.323,20120511,1
W.323,20120511,1
e.323,20120511,1
8.323,20120512,1
B.323,20120512,1
K.323,20120512,1
S.323,20120512,1
C.323,20120513,1
U.323,20120513,1
k.323,20120513,1
2.323,20120514,1
7.323,20120514,1
A.323,20120514,1
W.323,20120514,1
e.323,20120514,1
p.323,20120514,1
2.323,20120515,1
7.323,20120515,1
A.323,20120515,1
W.323,20120515,1
e.323,20120515,1
p.323,20120515,1
2.323,20120516,1
7.323,20120516,1
A.323,20120516,1
W.323,20120516,1
e.323,20120516,1
p.323,20120516,1
2.323,20120517,1
7.323,20120517,1
A.323,20120517,1
W.323,20120517,1
e.323,20120517,1
p.323,20120517,1
2.323,20120518,1
7.323,20120518,1
A.323,20120518,1
P.323,20120518,1
W.323,20120518,1
e.323,20120518,1
8.323,20120519,1
B.323,20120519,1
K.323,20120519,1
S.323,20120519,1
C.323,20120520,1
U.323,20120520,1
k.323,20120520,1
l.323,20120520,1
2.323,20120521,1
7.323,20120521,1
A.323,20120521,1
W.323,20120521,1
e.323,20120521,1
p.323,20120521,1
